1|SMITH|2,442,977|70.90%|23.11%|0.50%|0.89%|2.19%|2.40%
2|JOHNSON|1,932,812|58.97%|34.63%|0.54%|0.94%|2.56%|2.36%
3|WILLIAMS|1,625,252|45.75%|47.68%|0.46%|0.82%|2.81%|2.49%
4|BROWN|1,437,026|57.95%|35.60%|0.51%|0.87%|2.55%|2.52%
5|JONES|1,425,470|55.19%|38.48%|0.44%|1.00%|2.61%|2.29%
6|GARCIA|1,166,120|5.38%|0.45%|1.41%|0.47%|0.26%|92.03%
7|MILLER|1,161,437|84.11%|10.76%|0.54%|0.66%|1.77%|2.17%
8|DAVIS|1,116,357|62.20%|31.60%|0.49%|0.82%|2.45%|2.44%
9|RODRIGUEZ|1,094,924|4.75%|0.54%|0.57%|0.18%|0.18%|93.77%
10|MARTINEZ|1,060,159|5.28%|0.49%|0.60%|0.51%|0.22%|92.91%
11|HERNANDEZ|1,043,281|3.79%|0.36%|0.60%|0.19%|0.16%|94.89%
12|LOPEZ|874,523|4.86%|0.57%|1.02%|0.38%|0.25%|92.92%
13|GONZALEZ|841,025|4.03%|0.35%|0.38%|0.14%|0.13%|94.97%
14|WILSON|801,882|67.36%|25.99%|0.60%|1.06%|2.38%|2.61%
15|ANDERSON|784,404|75.17%|18.93%|0.61%|0.74%|2.11%|2.44%
16|THOMAS|756,142|52.63%|38.75%|2.44%|1.07%|2.58%|2.54%
17|TAYLOR|751,209|65.38%|28.42%|0.56%|0.76%|2.41%|2.46%
18|MOORE|724,374|66.41%|27.74%|0.48%|0.68%|2.34%|2.34%
19|JACKSON|708,099|39.89%|53.04%|0.39%|1.06%|3.12%|2.50%
20|MARTIN|702,625|74.80%|15.76%|0.90%|0.98%|2.02%|5.56%
21|LEE|693,023|35.95%|16.33%|42.22%|0.97%|2.64%|1.89%
22|PEREZ|681,645|4.96%|0.45%|1.17%|0.20%|0.26%|92.95%
23|THOMPSON|664,644|69.78%|23.57%|0.57%|1.22%|2.37%|2.49%
24|WHITE|660,491|65.51%|28.17%|0.49%|1.07%|2.38%|2.38%
25|HARRIS|624,252|51.40%|42.39%|0.47%|0.67%|2.80%|2.26%
26|SANCHEZ|612,752|4.98%|0.45%|0.96%|0.37%|0.24%|92.99%
27|CLARK|562,679|74.65%|19.02%|0.54%|1.01%|2.19%|2.58%
28|RAMIREZ|557,423|3.89%|0.31%|0.93%|0.20%|0.19%|94.48%
29|LEWIS|531,781|58.23%|34.84%|0.56%|1.20%|2.58%|2.58%
30|ROBINSON|529,821|48.70%|44.93%|0.46%|0.53%|2.77%|2.61%
31|WALKER|523,129|58.66%|35.05%|0.45%|0.87%|2.55%|2.41%
32|YOUNG|484,447|66.26%|24.67%|3.03%|0.79%|2.66%|2.58%
33|ALLEN|482,607|67.59%|26.17%|0.54%|0.86%|2.38%|2.47%
